Name,Tag,Area,Address,Category,Price,Timings
Hokkaido Ramen Santouka,CASUAL DINING,West End,"1690 Robson Street, Vancouver V6G 1C7","Ramen, Japanese",10,NO
Phnom Penh,CASUAL DINING,Chinatown,"244 E Georgia Street, Vancouver V6A 1Z7","Vietnamese, Cambodian, Asian",1010,NO
Cafe Medina,CASUAL DINING,Downtown,"780 Richards Street, Vancouver V6B 3A6",European,10101010,NO
Nero Belgian Waffle Bar,DESSERT PARLOR,West End,"1703 Robson Street, Vancouver V6G1C8","Desserts, Cafe",10101010,NO
Miku Restaurant,CASUAL DINING,Downtown,"200 Granville Street, Vancouver V6C 1S4","Sushi, Japanese, Asian",10,YES
Kingyo Izakaya,CASUAL DINING,West End,"871 Denman Street, Vancouver V6G 2LN","Sushi, Japanese, Asian",101010,YES`
Chambar,CASUAL DINING,Downtown,"568 Beatty Street, Vancouver V6B 2L3","French, Middle Eastern",101010,NO
Suika,CASUAL DINING,Fairview,"1626 W Broadway, Vancouver V6J 1X6","Japanese, Asian, Tapas",101010,NO
Kishimoto Japanese Kitchen & Sushi Bar,CASUAL DINING,Grandview,"2054 Commercial Drive, Vancouver V5N 4A9","Sushi, Japanese",101010,NO
Meat & Bread,QUICK BITES,Gastown,"370 Cambie Street, Vancouver V6B 1H7 1H7",Sandwich,1010,YES
Fable Kitchen,CASUAL DINING,Kitsilano,"1944 W 4th Avenue, Vancouver V6J 1M5","Canadian, Seafood",10101010,YES
Twisted Fork Bistro,CASUAL DINING,Downtown,"213 Carrall St, Vancouver, BC V6B 2J2, Canada, Vancouver V6B 2G6","Canadian, French",10101010,NO
Les Faux Bourgeois,CASUAL DINING,Mount Pleasant,"663 E 15th Avenue, Vancouver V5T 2R6",French,10101010,NO
The Red Wagon,CASUAL DINING,Grandview,"2296 E Hastings Street, Vancouver V5L 1V4","Diner, Canadian",1010,NO
Minami Restaurant,CASUAL DINING,Yaletown,"1118 Mainland Street, Vancouver V6B 2T9","Sushi, Japanese, Asian",101010,YES
Thomas Haas,DESSERT PARLOR,Kitsilano,"2539 West Broadway, Vancouver V6K 2E9","Desserts, Bakery",10,NO
Bella Gelateria,DESSERT PARLOR,Coal Harbour,"1001 West Cordova Street, Vancouver V6C 3L5","Desserts, Ice Cream",10101010,YES
Rodney's Oyster House,CASUAL DINING,Yaletown,"1228 Hamilton Street, Vancouver V6B 6L2",Seafood,101010,YES
La Taqueria,QUICK BITES,Downtown,"322 W Hastings Street, Vancouver V6B 1K6",Mexican,10,NO
Stepho's Souvlaki Greek Taverna,CASUAL DINING,West End,"1124 Davie Street, Vancouver V6E 1N1","Greek, Mediterranean",10101010,YES
Ajisai Sushi Bar,CASUAL DINING,Kerrisdale,"2081 West 42nd Avenue, Vancouver V6M2B4","Sushi, Japanese, Asian",1010,NO
Blue Water Cafe,FINE DINING,Yaletown,"1095 Hamilton Street, Vancouver V6B 5T4","Seafood, Pacific Northwest",1010,YES
L'Abattoir,CASUAL DINING,Gastown,"217 Carrall Street, Vancouver V6B2J2","French, Pacific Northwest",1010,YES
Joe Fortes Seafood & Chop House,CASUAL DINING,West End,"777 Thurlow Street, Vancouver V6E 3V5","Seafood, Steak",10101010,NO
Thierry Chocolaterie Patisserie Cafe,CAF�,West End,"1059 Alberni Street, Vancouver V6E 1A1","Desserts, Cafe",101010,YES
